speech_id|speech
510120400|The gentleman should confine himself to the question of privilege which he states.
510120401|I am trying to do so. Mr. Speaker. and if I did not think that the Speaker would probably hold that I had no question of privilege and no privileges here. I would proceed to discuss that without bringing in other matters.
510120402|The gentleman ought not to bring in other matters. He understands that that is not proper-
510120403|I understand that it is proper that I should confine myself to the question of privilege. but-
510120404|The Chair hopes that the gentleman will act up to his understanding.
510120405|But I had asked the Chair to let ma know-
510120406|The Chair has been listening to the gentlemans statement of his question of privilege. and whenever the gentleman is through the Chair will rule upon it.
510120407|Well. then. Mr. Speaker. without commenting upon the conduct of the Speaker. or upon my motives in calling attention to this matter. I desire now to direct the attention of the House to another provision of the Constitution. which gives to the House the right to compel the attendance of absent members. I read from section 5. of Article I of the Constitution. which provides thatEach House shall be the judge of the elections. returns. and qualifications of its own members. and a majority of each shall constitute a quorum to do business. but a s.naller number may adjourn from day to day. and may be authorized to compel the attendance of absent members in such manner and under such penalties as each House may provide. Now. Mr. Speaker. if there is anything in the rules by which you can go beyond compelling me. if I am an absentee. to come into this House. if there is anything in the Constitution by which you can fasten me up. and imprison me in this House. and say that I shall not leave it for any purpose whatever. I want to know in what provision of the Constitution or of the rules you find authority for issuing any such arbitrary. unprecedented. dictatorial. and usurpatory orderas that. And I should like to know. at this point. whether the Speaker did issue such an order. I would like the Chair to answer that question.
510120408|Has the gentleman finished his presentation of the question of privilege?
510120409|I have not completed it.
510120410|If he has. the Chair is ready to rule upon it.
510120411|I would like to know as to the question of fact. I do not want to punish the subordinate.
510120412|Whenever the gentleman is through. the Chair is ready to rule on the question of privilege.
510120413|"The gentleman is not through. Iconelude. then. Mr. Speaker. that the subordinate must be excusable. I say that the issuance of such an order as that is no more warranted than it would be if the Speaker should issue his order that the gentleman from Arkansas should be "" electrocuted"" by the Kemmier process recently adopted in the State of New York. And then. Mr. Speaker. there is another reason why I would like to have this matter settled. I would like to have it settled. not only for mv own benefit. but for the protection of the rights and privileges of members under the Constitution. not only in this Congress. but in all future Congresses. so that we may know to what extent the power of the Speakerof the House may be exercised. I will say. Mr. Speaker. that if such arbitrary methods as this are pursued in dealing with the Representatives of the people. the day will come when it will be necessary to understand whether or not the Speaker may have a member whom he dislikes executed on the floor of the House. Such arbitrary and illegal acts are the parents of revolution. I do not understand that this order was directed at me particularly. but that it was a general order. I refused to obey it because it was in violation of my rights as a Representative under the Constitution. and in violation of the rights and the dignity of this House. Now. Mr. Speaker. [ think that this question ought to be settled here. I believe that it was settled in a preceding Congress. In order that the ruling which may now be made on the point may be correct I wish to refer to something that was said in connection with an occurrence in a preceding Congressthe F6rtyeighth Congresswhen there was a Speaker presiding over this House who was known throughout the world wberever parliamentary law is known as one of its ablest expounders and one of the fairest men that ever presided over a oeliberative body. The question then arose upon the right of a Representative from Massachusetts. Mr. Long. who. when he attempted to enter the House. was under the same provision that I have recited denied admission to the floor of the House by a doorkeeper. Mr. Long came into the House and prestnted the question of privilege. and in discussing it he used language which. if the Speaker will permit. I will have the Clerk read."
510120414|Now. Mr. Speaker. I have stated the facts. I repeat that I was not an absentee. I had not been absent from the House. I was not brought in here under an order of the House. I was here answering to my name upon the rollcall. not leaving the House except -to go within the Capitol to attend to my business. and coming back here inside of five minutes from the time this incident occurred. I bring up this question not so much because I felt the personal indignity. for I understood that this doorkeeper was exercising what he believed to be legal authority. but because it involves the highest constitutional and personal rights of members of the House. I disputed that authority. and would have disputed it to any extent. regardless of who might have been executing or attempting to exercise it. I went out and performed my business and returned here. The Speaker of the House. in my opinion. if he has issued such an order as that (and I have not yet ascertained whether he did or not). did so in violation of law. in violation of the rules of the House. in violation of the Constitution. and in violation of the personal rights and privileges of members ot the House. And I hope when we get a ruling on the point of order we shall know whether or not there has been such an attempt at the exercise of arbitrary power by the Speaker ofthis House.
