speech_id|speech
510126231|Mr. Speaker. I desire to have the amendment which I offered pending when the time arrives for a vote. and I ask the gentleman from Tennessee to let it be submitted so that it may be pending.
510126232|Mr. Speaker. let the amendment be read. so that we may know what we are doing.
510126233|Mr. Speaker. I also want to offer an amendment. in order to have it pending when the time comes to vote.
510126234|pro temnpore. The Clerk will again report the amendment of the gentleman from Arkansas.
510126235|The Clerk will read the amendment of the gentleman from Texas .
510126236|That amendment has been already adopted.
510126237|A similar amendment which was adopted related to section 2.
510126238|I presume. then.this amendment is designed to make the third section correspond with the second. I suppose there can be no objection.
510126239|The Clerk has not read theamendment on which I desire the action of the House. The amendment just read was adopted. as I understand. by unanimous consent.
510126240|The Chair is informed that the amendment was not adopted.
510126241|Then I ask unanimous consent that it be adopted now.
510126242|Is there objection?
510126243|Let it be considered as pending. I can not agree that it be adopted by unanimous consent.
510126244|pro temporc. The gentleman from Ohio objects.
510126245|If the gentleman from Ohio understood this matter he would not object. The same amendment was adopted on motion of the gentleman from Pennsylvania to section two. This amendment simply makes section three conform to that.
510126246|I would like to have the Clerk read my other amendment. that it may be considered as pending.
510126247|The regular order is demanded. The gentleman from Tennessee will proceed.
