speech_id|speech
510006216|I now yield for ten minutes to the gentleman from Missouri .
510006217|Mr. Speaker. it is necessary for me to state in the outset that my position on this report from the Committee on Rules will be governed entirely by a solemn and wellunderstood compact entered into between honorable gentlemen representing the four cities competing for this site. The statement I make in regard to this compact I get from gentlemen who were present when it was made. I do not state any of the facts from my personal knowledge. Before the Committee on Foreign Affairs was announced. before a single bill had been introduced. before it was known to any members of the House outside of the Speaker who were to compose the Committee on Foreign Afdhirs. Representatives on this floor. meeting business men from New York. from Washington. from Chicago. and from St. Louis. agreed among themselves to recommend to the Representatives from the four cities particularly interested and to the Representatives a plan by which each of these cities could have a fair and equal and honorable representation on that committee. This compact was entered into. and gentlemen on this floor were committed to it. and I for one shall stand here and insist it shall be carried out in good faith today. This is no reflection on the Committee on Foreign Affairs. for at the time this compact was entered into none of us knew who would compose that committee. as I have already stated. And I am surprised. sir. that the distinguished gentleman from Illinois. chairman of the Committee on Foreign Affairs. should advocate the minority report submitted by the gentleman. his colleague. from Illinois. The chairman of the Committee on Foreign Affairs ought to be the last member in this House. in my judgment. to advocate that report. simply becauseit is well known that he has stated time and again that. as far as he is concerned. his choice in this matter is fixed. No amount of argument that could be used before that committee would change the views of the distinguished chairman of the committee. He is already committed to a site. and every member of this House knows that if that committee reports a bill to the House of Representatives in regard to the worlds fair the distinguished gentleman at the head of that committee will have charge of that bill on the floor of the House. I ask gentlemen on the floor of the House if. with all that has been done before. this is a fair proposition? I know the long experience the gentleman has had upon the floor. and also his skill as a parliamentarian. and not only that. but his skill in diplomacy. and through both of these reports I think I can see plainly the marks of the diplomatand the parliamentarian. Now. Mr. Speaker. all that St. Louis asks. all that the delegates from that city and the Representatives from the State of Missouri ask. in regard to the worlds fair. is that a special committee shall be appointed by the Speaker of the House. under the majority resolution reported by the gentleman from Ohio. and that that committee shall contain an equal number of friends of the four principal cities competing for this site. the Speaker to select the chairman. Mr. Speaker. whatever else St. Louis and Missouri may do on this floor to secure for St. Louis the worlds fair. you can rest assured that no Representative of that State and no friend of St. Louis will come upon the floor and ask any undue advantage in her behalf. She needs none. Her great commercial advantages. her geographical location. her population. her people. her friends. are all such that she need ask no unfair advantage of any or all of the cities of the United States in this competition for the location of the worlds fair. If we can not secure it by appealing to the judgment of the members on this floor. we do not want it. If we have to secure it by violating a compact entered into between honorable gentlemen representing these cities. St. Louis does not want it. We simply ask that that agreement shall be carried out in good faith and the majority report. while it is not all that we expected. may be adopted by the House. Now. I know that there are individual members of the Committee on Foreign Affairs who have not committed themselves to any particular location. They are honorable gentlemen. There are many of them that the friends of St. Louis would as soon see on that committee on the worlds fair as any gentlemen on the floor of this House. and it is no reflection upon the committee or any individual member of it that we come before you and simply say that our hands are bound by an honorable compact and that we ask that that compact be carried out in good faith. We appeal to the House in behalf of the rights of all of these cities that made this compact to ratify it by the adoption of the majority report. I reserve. Mr. Speaker. whatever time I may not have consumed of the ten minutes yielded to me.
510006218|The gentleman has one minute of his time left.
510006219|I now yield ten minutes to the gentleman from Missouri .
510006220|Mr. Speaker. I am in favor of the majority report because I believe the creation of a select committee is in the interest of good legislation. Such committee would be able to give its entire. exclusive. undivided attention to this subject. which now. in the minds of many people in this country. overshadows all other public questions. Such a committee properly constituted. as it undoubtedly would be. would be able to consider the subject Impartially and fairly. and I do not intend to detract from the worth of the Committee on Foreign Affairs when I make this statement. Whether we are to have any legislation upon this subject at all. whether we are to have a worlds fair or not. it is imperative that the conclusion when reached shall be beyond the suspicion of unfairness and partiality. Again I repeat that I make no aspersions upon the Committee on Foreign Affairs. The rule. however. Mr. Speaker. creating that committee and defining its jurisdiction does not cover this subject.
510006221|"But the rules have been adopted so far as conferring jurisdiction upon this committee is concerned. That rule provides that ""all proposed legislation relating to the relations of the United States and foreign pations ""-that is the language of the rule-"" shall go to the Committee on Foreign Affairs."" All proposed legislation relating to the relations of the United States with foreign nations. Now. gentlemen all will agree that this exposition is to be national in character and international simply as an incident. It is to be the countrys tribute to the immortal courage of the gentleman who discovered this continent. under whose blessings we now live. I do not think it becoming at this time to allude to the claims of the various cities competing for the location of this great exposition. I could press upon your attention convincing reasons why the great. magnificent. and attractive city of the great Mississippi Valley. the city of my home. should be the place selected. but I shall refrain from urging them at this time. Now. Mr. Speakqr: the legislation respecting the Centennial Expo- sition at Philadelphia did not comprehend one act or one resolution only. It covered a period of five years of legislation. and it is idle to say that one single act. one single bill. reported from the Committee on Foreign Affairs will settle this matter. We will have legislation all along the line. we will have legislation covering the entire period. Legislation respecting the Centennial Exposition at Philadelphia comprehended eleven distinct acts. More than one hundred bills for legislative considerhtion were introduced into this House respecting that exposition. The Committee on Foreign Affairs will have as much to do. perhaps. as it may be able to handle. but this committee. with this subject before it and to which all proposed legislation on this subject shall be referred. will be able to handle the matter with undivided attention. In addition. Mr. Speaker. to the reason I have briefly urged in favor of the majority report. I wish to urge this reason as against the report of the gentleman from Illinois . I am inexperienced in legislation. I was therefore highly complimented when. on the 6th day of December. the gentleman from Illinois waited upon me at my hotel. accompanied by the gentleman from New York . and asked my assent to the introduction of a resolution calling for the appointment of a select committee of thirteen. The gehtleman from New York had a resolution of that character. the gentleman from Illinois had a resolution of a similar ehracter. I had a resolution of like character. With the pride of opinion that is just and honorable in a gentleman of the everlasting exorience of the astute gentleman from Illinois.the gentleman from New York and myself yielded to the resolution that he had drawn for the formation of this committee. XXI41 The gentleman from Illinois was told to report to the Speaker of the House that we. the representatives of the cities. and the District of Columbia. represented by the commissioners of the District. would assent to the selection of a committee of thirteen on the condition that the Speaker appoint the chairman of that committee and on condition that he did not hail from any State that had a city which was competing for the location. It was upon that condition that we assented to the introjiction of the resolution. The gentleman came to me. not out of compliment to me. but after having appeared before the Speaker and having asked permission to introduce a resolution of that character. The Speaker told the gentleman that he was under promise to me that before a resolution of that kind was introduced I should le consulted. because immediately after the election of the officers of this House I waited upon the Speaker and asked him whether he would recognize me the next day for the introduction of this resolution. The Speaker said. ""I prefer that you do not ask for recognition for that purpose at this time."" I told the Speaker that any preference of his was. of course. a command. He then said. ""Before any action is taken I will see that you are informed upon the subject."" The purpose I had in view was that there should be speedy legislation on this subject. There is very little difference between the majority and the minority report. but the difference is essential in this: Both provide for speedy legislation. but one provides for a select committee. to which shall be referred all legislation upon this subject. while the other provides that a committee already constituted shall have charge of that matter. and I will present another reason why that committee should not have charge of this subject. Mr. Speaker. the reason for believing that a select committee on this subject will iubserve the best interests of all and of wholesome legislation lies in the fact that the distinguished chairman of the Committee on Foreign Affairs. having been appointed at a meeting held at Willards Hotel of the representatives of the four cities. was constitutedby a vote at that meeting the spokesman to appear before the Speaker on the 18th day of December and lay before him the joint wish of the four cities competing for this site. namely. that a select committee of thirteen be appointed to which shall be referred all proposed legislation. The gentleman from Illinois appeared before the Speaker in his room as the spokesman of this delegation. the New York delegation was represented by Mr. BELDEN. Chicago and Illinois were represented by Mr. HITT. and I appeared on behalf of the city I have the honor In part to represent. The gentleman from Illinois . the present chairman of the Committee on Foreign Affairs. made an earnest and eloquent appeal to the Speaker that he call together the Committee on Rules and report favorably a resolution of this character. The Speaker replied that he was hard pressed for time. He was then engaged in the arduouslabor of designating the gentlemen on the standing committees of this House. He said that he would consider the matter and encouraged us in the belief that our wishes would lie complied with when he secured time. Congress adjourned three days later for the holiday recess. after the reconvening of Congress the subject has been pressed hard upon the attention of the Speaker. and he has been unable until this time to securea report from the Committee on Rules. which has been submitted today. With these observations I submit. Mr. Speaker. that the majority report should receive the vote of the members of this House."
510006222|The gentlemans time has expired.
510006223|If it be the pleasure of the gentleman from Kentucky. I would like him to take his time now.
510006224|How much time is there?
510006225|Mr. Speaker. I request permission to extend my remarks in the RECORD.
510006226|The gentleman from Missouri requests leave to extend his remarks in the RECORD. Is there objection?
510006227|I yield to the gentleman from Kentucky thIrty minutes. He can take the whole of it now or reserve such portion of it as he may think proper to reserve.
510006228|Then I will yield three minutes of that thirty to the gentleman from Illinois .
510006229|I propose to use the three minutes allowed me for the purpose of replying to the statement of the honorable gentleman from Missouri in regard to the compact that is alleged by him to have been made between the representatives of the four cities competing for this fair. There was no compact made by any representatives that I know of. and I was present on the occasion to which the gentleman refers. There was simply a motion made and carried into that conference. in which were represented the four cities competing for the fair. to the effect that a committee of one from each of the cities should be created to wait upon the Speaker and ask him to call the Committee on Rules together for the piwpose of requesting that committee to report a proposition to the House in favor of a special committee.
510006230|Will the gentleman yield for a question?
510006231|No. sir. I have not time.
510006232|I wanted to ask the gentleman if he was opposed to that resolution.
510006233|I was in favor of that resolution. and I believe I moved its adoption. The committee was agreed to. and the object of creating it was then stated to be to have it wait upon the Speaker to ask that he would call the Committee on Rules together before the holidays. so that a special committee might be appointed before the holiday recess. in order that during that recess it might mature the necessary legislation and have it ready to report to Congress on its reagsembling in January. The genitleman from Illinois. the chairman of the Cowmittee on Foreign Affairs . represented Chicago. and it has just been stated by the gentleman from Missouri that he did. with that committee. appear before the honorable Speaker and urge him to call the Committee on Rules together. and when that mission had been performed by the honorable gentleman from Illinois he had discharged every obligation that was imposed upon him by that joint council or conference. It was simply for the purpose of facilitating action by urging the appointment of a special committee before the holidays. that was the very turningpoint in all this matter. That special committee was not appointed. from no fault of any one of the cities or their representatives. I want to reply to another point. There was no agreement on the part of any representative from Chicago that this special committee should be composed in any particular way. On the contrary. the Chicago representatives expressly declined to expressto the Speaker any choice as to the composition of the committee. so far as they were concerned. it was to be left entirely to him. Now as to whether the existing committee is a fair one or not. let gentlemen look at the Committee on Foreign Affairs. which has taken jurisdiction of this question and is now ready to report a bill in regard to it. Five of the members of that committee. Messrs. KETCHAM. ROCKWELL. FITCH. ANDREW. and ScRNTON. live nearer to New York than to any other of the competing cities. Four members of the committee. namely Messrs. MORROw. COLEMAN. HOOKER. and MCCREARY. live nearer to St. Louis than to any other of the competing cities. only three of the members. Messrs. HIrr. DUNNELL. and CHIPMAN. live nearer to Chicago. and only one lives nearest to Washington. so that if any city has a right to complain of the composition of the committee it will be the city of Washington.
510006234|Mr. Speaker. I have one minute of my time left and I would like to be permitted to use it to reply to the gentleman who has just sat down.
510006235|Unless there be objection. the gentleman may proceed.
510006236|I desire to state In reply that the explanation of the gentleman is simply a special plea. The gentlemen that he was treating with were not hunting around for little loopholes to creep out of an honorable compact.
510006237|There was no compact.
510006238|The resolution came from the city of Chicago and was delivered to the representatives of the city of St. Louis. I was one of the representatives from my State appointed to meet that committee in conference for the purpose of securing a special committee of thirteen. and until the representatives ofChicago found that they had an advantage in this bill they never dreamed of withdrawing from that compact. We may as well state the plain facts in connection with this matter. because honorable men have got topass upon it. That is the truth and the whole truth. The other three cities understood that there was an invitation to meet them in conference for this very purpose. and the purpose was carried out by them in good faith. and we never heard that you did not intend to keep faith with us until it was understood just what sort of a bill was being prepared by the Committee on Foreign Affairs.
510006239|I ask the getitleman from Kentucky [r. McCREARY] to yield me half a minute.
510006240|I yield the gentleman half a minute.
510006241|I want to state to the House again that there was no compact in this matter. we had nobody to make a compact with. I deny the right of any four or five gentlemen to meet in a parlor of Willards Hotel and make a compact which will bind this House.
510006242|Well. if you did not intend to keep it. you never ought to have invited honorable men to meet you in conferenc3.
510006243|We kept just what we agreed to keep. and we went and asked the Speaker to call the Committee on Rules together. so that there might be a special committee appointed.
