speech_id|speech
1110163277|"Mr. President. I wish to announce that the Committee on Rules and Administration will meet on Wednesday. September 29. 2010. at 10 a.m.. to hear testimony on ""Examining the Filibuster: Ideas to Reduce Delay and Encourage Debate in the Senate."" For further information regarding this meeting. please contact Lynden Armstrong at the Rules and Administration Committee on (202) 2246352."
1110163278|Mr. President. on behalf of Senator MAX BAUCUS of Montana. I ask unanimous consent that Mary Baker and John Merrick. members of his staff. be permitted the privilege of the floor during consideration of S. 3816 and any votes thereon.
1110163279|Without objection. it is so ordered.
1110163280|Mr. President. I ask unanimous consent that Jeffrey Colvin. a legislative fellow in my office. be granted the privilege of the floor for the remainder of the Congress.
1110163281|pro ternpore. Without objection. it is so ordered.
1110163282|Mr. President. I ask unanimous consent that the Senate proceed to Calendar No. 413. H.R. 553.
1110163283|The clerk will report the bill by title.
1110163284|I ask unanimous consent that the committeereported substitute be considered. a Lieberman amendment. which is at the desk. be agreed to. the committeereported substitute amendment. as amended. be agreed to. the bill. as amended. be read a third time and passed. the motions to reconsider be laid upon the table without intervening action or debate. and any statements relating to the bill be printed in the RECORD.
1110163285|Without objection. it is so ordered.
1110163286|Mr. President. I ask unanimous consent that the Senate proceed to the immediate consideration of Calendar No. 321. H.R. 946.
1110163287|The clerk will report the bill by title.
1110163288|I ask unanimous consent that an Akaka amendment. which is at the desk. be agreed to. the bill. as amended. be read a third time and passed. the motion to reconsider be laid upon the table with no intervening action or debate. and any statements related to the bill be printed in the RECORD.
1110163289|Without objection. it is so ordered.
1110163290|Mr. President. I ask unanimous consent that the Senate proceed to the immediate consideration of Calendar No. 579. H.R. 3553.
1110163291|The clerk will report the bill by title.
1110163292|I ask unanimous consent that the bill be read a third time and passed. the motion to reconsider be laid upon the table. with no intervening action or debate. and any statements related to the bill be printed in the RECORD.
1110163293|Without objection. it is so ordered. The bill was ordered to a third reading. was read the third time. and passed.
1110163294|Mr. President. I ask unanimous consent that the Senate proceed to Calendar No. 582. H.R. 2092.
1110163295|The clerk will report the bill by title.
1110163296|I ask unanimous consent that the committeereported amendments be agreed to. and the bill. as amended. be read a third time and passed. the motions to reconsider be laid upon the table. without intervening action or debate. and any statements related to the bill be printed in the RECORD.
1110163297|Without objection. it is so ordered. The committee amendments were agreed to. The amendments were ordered to be engrossed and the bill to be read a third time. The bill . as amended. was read the third time and passed.
1110163298|Mr. President. I ask that the Chair lay before the Senate a message from the House with respect to S. 1510. U.S. Secret Service Uniformed Division Modernization Act of 2010.
1110163299|I ask unanimous consent that the Senate concur in the House amendments to the Senate bill. with an amendment which is at the desk. that the motion to concur be agreed to and the motion to reconsider be laid upon the table. further that the Senate agree to the title amendment.
1110163300|Without objection. it is so ordered.
1110163301|Mr. President. I ask the Chair to lay before the Senate a message from the House on S. 2868.
