speech_id|speech
560003878|Mr. President-
560003879|I ask ihe Senator from Montana to yield to me just a moment.
560003880|Certainly.
560003881|At this stage of the debate. without intending to discuss the pending bil.. I ask that there may be inserted in the RECORD the amount of coinage of gold and silver of the mints of the world for the calenda:r years since 1873. including 1898.
560003882|Not including 1899?
560003883|Eighten hundred and ninetynine is not included. I take the calendar year 1898. I quote from the last report of the Director of the Mint. page 50: The total value of gold coined during these years amounts to $4.6U.891.321.
560003884|During what period?
560003885|During the period from 1873 to 1898. inclusive.
560003886|By years?
560003887|The calendar years. giving each calendar year.
560003888|That is the production?
560003889|The coinage.
560003890|It is the coinage of gold. The coinage of silver during the same period amounts to $83.359.909.625. I ask that this table may be inserted in the RECORD. It is very brief.
560003891|The Senator from Iowa asks that a table to which he calls attention may be inserted in the RECORD. Is there objection? The Chair hears none. and it is so ordered. The table is as follows: Coinage of gold and silver of the mints of the world for the calendar years since Gold. Silver. Calendar year.Cong Fine ounces. Value. Fine ounces. value. 1873 ---------------------- .12.42.890 257.630.802 101.741.421 $131.544.466 1874 -------------------- 6.588.279 135.778.387 79.610.875 102. 31.232 1875 --------------------- 9.480.892 195.987.428 92.747.118 119.915.467 1876 ...................... 10.309.645 213.119.278 97.899.525 126.577.164 1877 ----_---------------- 9.753.196 201.616.466 88.449.796 114.359.332 1878 ------------------ - 9.113.202 188.is.611 124.671.870 116.191.913 1879 --------------------- 4.390.167 90. 752 .811 81.12A. 55 101.888.313 1880 ...................... 7.242.95t 149.725.081 65.442.074 816i1..974 1881 -------------------- 7.111.84 147.015.275 83.539.051 108. 010.080 1882 .................... 4.82. 851 99.697.170 85.685.996 110.785.t34 1883 :-.- - •------ .-.. - -----071.882 104. 845.114 84.541.904 109. 306.705 1884 ----- ---------- 4.810. 061 99.432 .795 74.120.127 95.832.084 18&5 ..............---- 4.632.273 95. 757.582 98.044.475 126.768.574 1880....................4.578.310 94.642.070 91. 566. 844 12t .4. 101 1887 ............. * --------- (- 46.510 12. 992.465 126.388.502 103.411.397 1888 ......................1 6. 5!2. M l34.828. 855 10.351.000 131. 922.344 1889 ...................... t. 170.011 168.901.519 107. 788.256 139.362.595 1890 --------------------- 7. 219. 725 149.244.95 117.789. 228 152. 203.144 1891 ...................... 1.782.463 119.531.122 105.962.049 138.29. 367 1892 --------------------- 18.343.387 172. 473. 124 120. 282. 947 155.517.347 i893 .......-............... .243. 342 232.420.517 106. 697.783 137. 952. 699 1894---------------....- -.05.680 227. 91.632 87. 47.523 113.095.788 1895 --------------------- 1:..178.855 231.087. 38 98.128. 832 126. 87M. 642 1896 ...................... 1. 470. (9 195.89..517 123. .9 t. 2TJ 159.50.027 1897 ...................... 2.174..50 437. 722.99 - 1.29.775.082 167.790.(X)6 1898 -------.............. 19.131.2 395.477.905 115.461.020 149.282.935 Total ....-.......... 29i.664.115 4.664.891.321 2.598.680.092 3.359.909.65
560003892|I do not know for what purpose the Senator from Montana riseswhether he purposes to discuss the pending bill or not.
560003893|I rose for the purpose of calling up at this time Senate bill 2179.
560003894|There is a bill already before the Senate. I wish to have some understanding in regard to that measure before anything else is called up. I should like to ask whether any Senator is ready to go on with the discussion of the pending bill.
560003895|I understand that there is no one on this side of the Senate Chamber ready to proceed with its discussion at this time. Senators have been very much engaged with other matters. While I know of a number of Senators who intend to submit some remarks on the bill before the vote is taken. a number of them have said to me that it has been impossible for them to be ready at this time to proceed with the discussion. but they hope to be ready very soon. 1 assure the Senator. as I did the other day. that there is no disposition on this side to delay the bill. but the personal convenience of Senators. it seems. requires that some of them. at any rate. should have some more time in which to prepare for the discussion.
560003896|I beg to remind Senators that this bill was reported to the Senate three weeks ago. .that more than a week has elapsed since the bill was taken up for actual consideration. and that up to this time we have hadno speeches on the subject by Senators sitting on the other side of the Chamber. While I have said repeatedly that I did not expect to object to discussion. and that we would be glad to have the fullest and freest discussion. I think I have a right to ask that that discussion shall take place within some reasonable time. With a desire. which I believe is shared by almost every Senator sitting upon either side of the Chamber. to reach a conclusion upon this subject at as early a day as possible. I feel it my duty to give notice that I shall ask to have this bill taken up on Monday. If there are no Senators ready to discuss it. I shall ask the Senate to voteupon it. and if there is anyone ready to discuss it. I shall ask to have the bill considered continuously until it shall be disposed of. and that without any desire to be unreasonable in my request. but this is a matter which it seems to me I must ask of the Senate.
560003897|I should like to ask the Senator a question. if he will allow me.
560003898|Certainly.
560003899|The Senator complains that the bill has been before the Senate for a week since he made his speech. I wish to ask the Senator if there is to be any further discussion on the side of those who support the bill except what we have had?
560003900|I do not know at the present time of anyone who desires to speak. So far as that is concerned. we are ready to vote on the bill at the present moment.
560003901|We who are opposed to the bill and who propose to discuss itas the Senator from Arkansas says. without any intention to delay it unnecessarilyhad a right to suppose that the bill. which presents so grave a question. one that has been so much controverted. would at least have more than one defender on this floor. If the bill is to be submitted without any debate on the other side except what we have had. it will be the most extraordinary thing that has ever happened in legislation in any free country. Of course I know that this is a caucus bill. but I did not suppose that it was a caucus bill to the extent that the whole defense of the bill was left to the chairman of the Committee on Finance. However. if that is the case. we will get ready for this debate. I should have been ready for it before. but I had every reason to suppose that somebody besides the chairmansome member of the committee. some one who sees so much beauty in this systemwould at least take up the question and do what the Senator did not do. except in partpresent to us the necessity for this legislation.
560003902|The Senator from Colorado is mistaken in his view of the substitute. In the first place. this is not a caucus bill.
560003903|I wish to say that the bill before the Senate properly. the one to be considered. under the suggestion made by the Senator who just left the floor. as all who know something of practical legislation are aware. isthe bill that came from the House. -That is first to be discussed. although the substitute of the Senate committee takes its place. When we allowed the Senator to put in the Senate bill for convenience. so that amendments might be made to it. he did not understand. I hope. that he would cut us off from debating the House bill.
560003904|Not in the slightest.
560003905|That is the bill that some of us at least are going to address ourselves to. not but that practically the bills are the same. but there are some features which are different in the bill as it came from the House. which I understand is a caucus measure. although I do not think it is hardly just to say that it is the result of a caucus of the Republican party. because it is not. It was the result of a caucus of some outside. intermeddling people. who thought they knew more about finance than anybody else in the world. and who induced a small percentage of the Republican members to adopt it as their work. But we know very well. Mr. President. that when this bill passes. if it passes with the Senate amendment and goes into conference. we are practically cut off from any further debate and amendment. and that we shall have to take the bill as it is. So far as I am concerned. I want to make some objection not only to the Senate bill. but to the House bill. upon the theory suggested by the Senator from Nevada a few moments ago. which is in absolute accordance with the practice in the Senate that has been so viciously followed. I will instance. if anybody wants an illustration. the Sherman Act of. 1890. a bill that was forced upon the silver people of this country. which. as I myself said. thirty minutes before I voted for it. was absolutely indefensible as a money measure. and was only put upon us to prevent the passage of a free coinage bill and the necessity of a Republican President vetoing it. which he had declared over and over again he would do if it came to him.
560003906|Mr. President. I do not undertake to deny the right of the Senator from Colorado or any other Senator to discuss in any of its phases either the House bill or Senate bill. but I have suggested that if it is to be discussed that discussion ought to be had. I assume there is no obligation on our part to do anything more than to present the bill and to furnish with it the explanations which those who are responsible for the measure think are necessary for the information of the Senate. I did not undertake to defend the bill. because the bill needs no defense from my hands or anybody else. The merits speak for themselves. I simply undertook to explain its provisions. Those provisions up to this moment have not been criticised by anybody upon the Democratic side of this Chamber and by no Senator except the Senator from Nevada . who sits upon this side. The customary course of discussion. of course. is that some Senator representing the minority on the committee shall undertake to discuss the bill and give his reasons why it should not be adopted. That. up to this moment. has not been done. and I am simply trying to impress upon the Senate now that I feel it to be my duty next week. when the bill shall come up again. to try to secure either discussion or a vote.
560003907|You will have some discussion.
